Segment Description,Facebook,Instagram,Linkedin,Snapchat
University of Texas,15.151515151515152,24.242424242424242,12.121212121212121,48.484848484848484
Emory University,27.586206896551722,27.586206896551722,3.4482758620689653,41.37931034482759
Cal Poly San Luis Obispo,7.6923076923076925,19.230769230769234,0.0,73.07692307692307
Appalachian State,12.5,17.5,2.5,67.5
Butler University,7.4074074074074066,33.33333333333333,11.11111111111111,48.148148148148145
College of William and Mary,30.76923076923077,20.51282051282051,7.6923076923076925,41.02564102564102
Cornell University,21.271929824561404,24.780701754385966,4.385964912280701,49.56140350877193
Emory University,27.586206896551722,27.586206896551722,3.4482758620689653,41.37931034482759
Indiana University,8.16326530612245,38.775510204081634,4.081632653061225,48.97959183673469
James Madison University,5.0,40.0,0.0,55.00000000000001
Johns Hopkins University,36.84210526315789,5.263157894736842,2.631578947368421,55.26315789473685
Northwestern University,29.166666666666668,25.0,4.166666666666666,41.66666666666667
Ohio State University,8.695652173913043,34.78260869565217,4.3478260869565215,52.17391304347826
Penn State University,26.08695652173913,21.73913043478261,0.0,52.17391304347826
Purdue University,4.545454545454546,31.818181818181817,4.545454545454546,59.09090909090909
San Diego State University,6.666666666666667,31.11111111111111,2.2222222222222223,60.0
Texas A&M University,9.523809523809524,23.809523809523807,0.0,66.66666666666666
Texas Christian University,20.0,20.0,10.0,50.0
Truman State University,30.0,30.0,3.3333333333333335,36.666666666666664
University of Alabama,11.11111111111111,33.33333333333333,3.7037037037037033,51.85185185185185
University of Arizona,12.903225806451612,29.03225806451613,0.0,58.06451612903226
University of Arkansas,4.761904761904762,33.33333333333333,4.761904761904762,57.14285714285714
"University of California, Berkeley",24.137931034482758,17.24137931034483,3.4482758620689653,55.172413793103445
University of Illinois,17.80821917808219,10.95890410958904,6.8493150684931505,64.38356164383562
University of Michigan,29.310344827586203,20.689655172413794,6.896551724137931,43.103448275862064
University of Minnesota,50.0,0.0,0.0,50.0
"University of California, Los Angeles",0.0,33.33333333333333,0.0,66.66666666666666
University of Missouri,24.324324324324326,18.91891891891892,2.7027027027027026,54.054054054054056
University of North Carolina,7.894736842105263,23.684210526315788,0.0,68.42105263157895
University of Virginia,17.197452229299362,23.56687898089172,4.45859872611465,54.77707006369427
University of Washington,15.254237288135593,34.74576271186441,1.2711864406779663,48.728813559322035
University of Wisconsin-Madison,17.1875,32.8125,6.25,43.75
Vanderbilt University,20.0,27.500000000000004,0.0,52.5
Virginia Tech,14.285714285714285,28.57142857142857,0.0,57.14285714285714
