Segment Description,Facebook,Instagram,Linkedin,Snapchat
University of Texas, 15.151515151515152, 24.242424242424242, 12.121212121212121, 48.484848484848484
Emory University, 27.586206896551722, 27.586206896551722, 3.4482758620689653, 41.37931034482759
Cal Poly San Luis Obispo, 7.6923076923076925, 19.230769230769234, 0.0, 73.07692307692307
University of Arizona, 12.903225806451612, 29.03225806451613, 0.0, 58.06451612903226
Appalachian State, 12.5, 17.5, 2.5, 67.5
Butler University, 7.4074074074074066, 33.33333333333333, 11.11111111111111, 48.148148148148145
University of Missouri, 24.324324324324326, 18.91891891891892, 2.7027027027027026, 54.054054054054056
Truman State University, 30.0, 30.0, 3.3333333333333335, 36.666666666666664
University of Wisconsin-Madison, 17.1875, 32.8125, 6.25, 43.75
University of Virginia, 17.197452229299362, 23.56687898089172, 4.45859872611465, 54.77707006369427
University of Illinois, 17.80821917808219, 10.95890410958904, 6.8493150684931505, 64.38356164383562
Texas Christian University, 20.0, 20.0, 10.0, 50.0
University of Arkansas, 4.761904761904762, 33.33333333333333, 4.761904761904762, 57.14285714285714
